State	NumBuildings	UnzippedSize
Alabama	2,455,168	672.58 MiB
Alaska	111,042	30.00 MiB
Arizona	2,738,732	806.59 MiB
Arkansas	1,571,198	425.40 MiB
California	11,542,912	3.35 GiB
Colorado	2,185,953	619.88 MiB
Connecticut	1,215,624	324.20 MiB
Delaware	357,534	94.00 MiB
District of Columbia	77,851	22.52 MiB
Florida	7,263,195	2.01 GiB
Georgia	3,981,792	1.04 GiB
Hawaii	252,908	64.72 MiB
Idaho	942,132	259.43 MiB
Illinois	5,194,010	1.35 GiB
Indiana	3,379,648	920.20 MiB
Iowa	2,074,904	517.95 MiB
Kansas	1,614,406	428.38 MiB
Kentucky	2,447,682	663.98 MiB
Louisiana	2,173,567	600.69 MiB
Maine	758,999	187.84 MiB
Maryland	1,657,199	410.84 MiB
Massachusetts	2,114,602	566.87 MiB
Michigan	4,982,783	1.24 GiB
Minnesota	2,914,016	762.08 MiB
Mississippi	1,507,496	394.08 MiB
Missouri	3,190,076	840.28 MiB
Montana	773,199	200.45 MiB
Nebraska	1,187,234	302.72 MiB
Nevada	1,006,278	296.10 MiB
New Hampshire	577,936	146.40 MiB
New Jersey	2,550,308	681.55 MiB
New Mexico	1,037,096	291.54 MiB
New York	4,972,497	1.25 GiB
North Carolina	4,678,064	1.22 GiB
North Dakota	568,213	143.54 MiB
Ohio	5,544,032	1.42 GiB
Oklahoma	2,159,894	582.14 MiB
Oregon	1,873,786	545.94 MiB
Pennsylvania	4,965,213	1.23 GiB
Rhode Island	392,581	105.21 MiB
South Carolina	2,299,671	612.67 MiB
South Dakota	661,311	166.31 MiB
Tennessee	3,212,306	890.22 MiB
Texas	10,678,921	2.83 GiB
Utah	1,081,586	306.98 MiB
Vermont	351,266	87.92 MiB
Virginia	3,079,351	797.04 MiB
Washington	3,128,258	884.38 MiB
West Virginia	1,055,625	260.33 MiB
Wisconsin	3,173,347	817.06 MiB
Wyoming	386,518	99.32 MiB
